Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26338,Buciumi,Buciumi,0,4,,4,4.50405E+11,0,29500387.41,36683.56614,46.20302722,26.78997391,3256,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26346,Gioseni,Gioseni,0,4,,4,4.51119E+11,0,29452626.27,26029.92897,46.42376668,26.99810487,4287,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26353,Odobeşti,Odobeşti,0,4,,4,4.51838E+11,0,43844724.74,38083.56788,46.67149681,27.14377312,2430,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26361,Prăjeşti,Prăjeşti,0,4,,4,4.52292E+11,0,18783758.96,30210.03458,46.65817044,26.97994745,2207,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,,26379,Iteşti,Iteşti,0,4,,4,4.5134E+11,0,30360597.24,34521.7197,46.66098472,26.87022731,1521,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20313,Hemeiuş,Hemeiuş,0,4,,4,4.51246E+11,,28074832.1,28248.726,46.62675856,26.84934687,6262,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20359,Letea Veche,Letea Veche,0,4,,4,4.51412E+11,,42554975.3,41293.46716,46.55074231,26.96627988,7351,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20411,Magura,Măgura,0,4,,4,4.51512E+11,,23816229.72,29038.38335,46.55664826,26.82796527,5482,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20466,Margineni,Mărgineni,0,4,,4,4.51537E+11,,84133325.28,69329.23844,46.60001374,26.78356354,10143,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20607,Gura Vaii,Gura Văii,0,4,,4,4.51219E+11,,70416270.84,42762.75984,46.29361602,26.85767459,5033,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,20670,Ştefan Cel Mare,Ştefan Cel Mare,0,4,,4,4.52765E+11,,70531233.81,53126.25695,46.19628848,26.85386944,5219,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21007,Agaş,Agăş,0,4,,4,4.50017E+11,,211076330.9,94481.92087,46.45396803,26.18926812,5966,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21098,Ardeoani,Ardeoani,0,4,,4,4.50076E+11,,27683101.53,31868.73441,46.52696753,26.60820321,2368,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21123,Asau,Asău,0,4,,4,4.50089E+11,,308585928.5,140520.9997,46.51545177,26.30815895,6908,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21196,Balcani,Balcani,0,4,,4,4.50116E+11,,113718012,55847.11554,46.64294937,26.49449263,7832,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21249,Bereşti-Bistriţa,Bereşti-Bistriţa,0,4,,4,4.50216E+11,,37821855.14,33787.04534,46.70833777,26.8592064,2167,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,21338,Bereşti-Tazlau,Bereşti-Tazlău,0,4,,4,4.50218E+11,,67017054.8,59145.65072,46.48231748,26.67651292,5524,1
