Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,People No
Croatia,HRV,Male,MAL,Belgium,BEL,836
Croatia,HRV,Male,MAL,Bulgaria,BGR,32
Croatia,HRV,Male,MAL,Croatia,HRV,0
Croatia,HRV,Male,MAL,Cyprus,CYP,17
Croatia,HRV,Male,MAL,Czech Republic,CZE,919
Croatia,HRV,Male,MAL,Denmark,DNK,481
Croatia,HRV,Male,MAL,Estonia,EST,13
Croatia,HRV,Male,MAL,Finland,FIN,460
Croatia,HRV,Male,MAL,France,FRA,3962
Croatia,HRV,Male,MAL,Germany,DEU,115658
Croatia,HRV,Male,MAL,Greece,GRC,78
Croatia,HRV,Male,MAL,Hungary,HUN,659
Croatia,HRV,Male,MAL,Ireland,IRL,290
Croatia,HRV,Male,MAL,Italy,ITA,12593
Croatia,HRV,Male,MAL,Latvia,LVA,3
Croatia,HRV,Male,MAL,Lithuania,LTU,4
Croatia,HRV,Male,MAL,Luxembourg,LUX,152
Croatia,HRV,Male,MAL,Netherlands,NLD,81
Croatia,HRV,Male,MAL,Poland,POL,477
Croatia,HRV,Male,MAL,Portugal,PRT,12
Croatia,HRV,Male,MAL,Romania,ROU,807
Croatia,HRV,Male,MAL,Slovak Republic,SVK,174
Croatia,HRV,Male,MAL,Slovenia,SVN,23796
Croatia,HRV,Male,MAL,Spain,ESP,420
Croatia,HRV,Male,MAL,Sweden,SWE,2657
Croatia,HRV,Male,MAL,Malta,MLT,1
Croatia,HRV,Total,TOT,Austria,AUT,85547
Croatia,HRV,Total,TOT,Belgium,BEL,1688
Croatia,HRV,Total,TOT,Bulgaria,BGR,78
Croatia,HRV,Total,TOT,Croatia,HRV,0
Croatia,HRV,Total,TOT,Cyprus,CYP,39
Croatia,HRV,Total,TOT,Czech Republic,CZE,1709
Croatia,HRV,Total,TOT,Denmark,DNK,917
Croatia,HRV,Total,TOT,Estonia,EST,23
Croatia,HRV,Total,TOT,Finland,FIN,836
Croatia,HRV,Total,TOT,France,FRA,8029
Croatia,HRV,Total,TOT,Germany,DEU,224721
Croatia,HRV,Total,TOT,Greece,GRC,214
Croatia,HRV,Total,TOT,Hungary,HUN,1280
Croatia,HRV,Total,TOT,Ireland,IRL,546
Croatia,HRV,Total,TOT,Italy,ITA,29209
Croatia,HRV,Total,TOT,Latvia,LVA,4
Croatia,HRV,Total,TOT,Lithuania,LTU,9
Croatia,HRV,Total,TOT,Luxembourg,LUX,288
Croatia,HRV,Total,TOT,Netherlands,NLD,154
Croatia,HRV,Total,TOT,Poland,POL,1045
Croatia,HRV,Total,TOT,Portugal,PRT,29
Croatia,HRV,Total,TOT,Romania,ROU,1592
Croatia,HRV,Total,TOT,Slovak Republic,SVK,271
Croatia,HRV,Total,TOT,Slovenia,SVN,48609
Croatia,HRV,Total,TOT,Spain,ESP,835
