Nume Uat,Cnt Name,Nume Regiune,Rang,Judet,Regiune,TIP,Pop 1Ian2020
Ipatele,Iaşi,Nord-Est,Iv,22,1,3,1676
Lespezi,Iaşi,Nord-Est,Iv,22,1,3,5792
Leţcani,Iaşi,Nord-Est,Iv,22,1,3,7910
Lungani,Iaşi,Nord-Est,Iv,22,1,3,6586
Mădârjac,Iaşi,Nord-Est,Iv,22,1,3,1658
Mirceşti,Iaşi,Nord-Est,Iv,22,1,3,3895
Mironeasa,Iaşi,Nord-Est,Iv,22,1,3,5488
Miroslava,Iaşi,Nord-Est,Iv,22,1,3,21697
Mirosloveşti,Iaşi,Nord-Est,Iv,22,1,3,4206
Mogoşeşti,Iaşi,Nord-Est,Iv,22,1,3,5165
Mogoşeşti-Siret,Iaşi,Nord-Est,Iv,22,1,3,3727
Moşna,Iaşi,Nord-Est,Iv,22,1,3,6204
Moţca,Iaşi,Nord-Est,Iv,22,1,3,5428
Movileni,Iaşi,Nord-Est,Iv,22,1,3,3089
Oţeleni,Iaşi,Nord-Est,Iv,22,1,3,3603
Plugari,Iaşi,Nord-Est,Iv,22,1,3,3462
Popeşti,Iaşi,Nord-Est,Iv,22,1,3,7315
Popricani,Iaşi,Nord-Est,Iv,22,1,3,8498
Prisăcani,Iaşi,Nord-Est,Iv,22,1,3,4983
Probota,Iaşi,Nord-Est,Iv,22,1,3,3639
Răducăneni,Iaşi,Nord-Est,Iv,22,1,3,8916
Româneşti,Iaşi,Nord-Est,Iv,22,1,3,1751
Ruginoasa,Iaşi,Nord-Est,Iv,22,1,3,6334
Schitu Duca,Iaşi,Nord-Est,Iv,22,1,3,3999
Scânteia,Iaşi,Nord-Est,Iv,22,1,3,10098
Scobinţi,Iaşi,Nord-Est,Iv,22,1,3,7613
Sineşti,Iaşi,Nord-Est,Iv,22,1,3,4428
Sireţel,Iaşi,Nord-Est,Iv,22,1,3,4376
Stolniceni-Prăjescu,Iaşi,Nord-Est,Iv,22,1,3,5429
Strunga,Iaşi,Nord-Est,Iv,22,1,3,4200
Şcheia,Iaşi,Nord-Est,Iv,22,1,3,3273
Şipote,Iaşi,Nord-Est,Iv,22,1,3,5043
Tansa,Iaşi,Nord-Est,Iv,22,1,3,3088
Tătăruşi,Iaşi,Nord-Est,Iv,22,1,3,5441
Todireşti,Iaşi,Nord-Est,Iv,22,1,3,5243
Trifeşti,Iaşi,Nord-Est,Iv,22,1,3,3936
Ţibana,Iaşi,Nord-Est,Iv,22,1,3,8201
Ţibăneşti,Iaşi,Nord-Est,Iv,22,1,3,8219
Ţigănăşi,Iaşi,Nord-Est,Iv,22,1,3,4911
Ţuţora,Iaşi,Nord-Est,Iv,22,1,3,2220
Valea Seacă,Iaşi,Nord-Est,Iv,22,1,3,6135
Victoria,Iaşi,Nord-Est,Iv,22,1,3,4432
Vânători,Iaşi,Nord-Est,Iv,22,1,3,4643
Vlădeni,Iaşi,Nord-Est,Iv,22,1,3,4242
Voineşti,Iaşi,Nord-Est,Iv,22,1,3,8372
Dochia,Neamţ,Nord-Est,,27,1,3,2520
Ruginoasa,Neamţ,Nord-Est,,27,1,3,1807
Ghindăoani,Neamţ,Nord-Est,,27,1,3,1914
Văleni,Neamţ,Nord-Est,,27,1,3,1522
Drăgăneşti,Neamţ,Nord-Est,,27,1,3,1527
Pânceşti,Neamţ,Nord-Est,,27,1,3,1491
Gâdinţi,Neamţ,Nord-Est,,27,1,3,2466
Negreşti,Neamţ,Nord-Est,,27,1,3,1806
Boghicea,Neamţ,Nord-Est,,27,1,3,2587
Dumbrava Roşie,Neamţ,Nord-Est,Iv,27,1,3,8685
Săvineşti,Neamţ,Nord-Est,Iv,27,1,3,7220
Cordun,Neamţ,Nord-Est,Iv,27,1,3,8108
Horia,Neamţ,Nord-Est,Iv,27,1,3,7237
Agapia,Neamţ,Nord-Est,Iv,27,1,3,4204
Bahna,Neamţ,Nord-Est,Iv,27,1,3,3384
Bălţăteşti,Neamţ,Nord-Est,Iv,27,1,3,4131
Bicaz-Chei,Neamţ,Nord-Est,Iv,27,1,3,4563
Bicazu Ardelean,Neamţ,Nord-Est,Iv,27,1,3,3771
Bira,Neamţ,Nord-Est,Iv,27,1,3,1981
Bârgăuani,Neamţ,Nord-Est,Iv,27,1,3,3546
Bodeşti,Neamţ,Nord-Est,Iv,27,1,3,4595
Borca,Neamţ,Nord-Est,Iv,27,1,3,6539
Borleşti,Neamţ,Nord-Est,Iv,27,1,3,9362
Boteşti,Neamţ,Nord-Est,Iv,27,1,3,5098
Bozieni,Neamţ,Nord-Est,Iv,27,1,3,2874
Brusturi,Neamţ,Nord-Est,Iv,27,1,3,3890
Ceahlău,Neamţ,Nord-Est,Iv,27,1,3,2371
Cândeşti,Neamţ,Nord-Est,Iv,27,1,3,4090
Costişa,Neamţ,Nord-Est,Iv,27,1,3,3472
Crăcăoani,Neamţ,Nord-Est,Iv,27,1,3,4301
Dămuc,Neamţ,Nord-Est,Iv,27,1,3,2995
Dobreni,Neamţ,Nord-Est,Iv,27,1,3,1798
Doljeşti,Neamţ,Nord-Est,Iv,27,1,3,7567
Dragomireşti,Neamţ,Nord-Est,Iv,27,1,3,2176
Dulceşti,Neamţ,Nord-Est,Iv,27,1,3,2548
Farcaşa,Neamţ,Nord-Est,Iv,27,1,3,3098
Făurei,Neamţ,Nord-Est,Iv,27,1,3,2089
Gherăeşti,Neamţ,Nord-Est,Iv,27,1,3,6699
Girov,Neamţ,Nord-Est,Iv,27,1,3,5059
Gârcina,Neamţ,Nord-Est,Iv,27,1,3,4888
Grinţieş,Neamţ,Nord-Est,Iv,27,1,3,2402
Grumăzeşti,Neamţ,Nord-Est,Iv,27,1,3,5220
Hangu,Neamţ,Nord-Est,Iv,27,1,3,3730
Icuşeşti,Neamţ,Nord-Est,Iv,27,1,3,4798
Ion Creangă,Neamţ,Nord-Est,Iv,27,1,3,5734
Mărgineni,Neamţ,Nord-Est,Iv,27,1,3,3649
Moldoveni,Neamţ,Nord-Est,Iv,27,1,3,2077
Oniceni,Neamţ,Nord-Est,Iv,27,1,3,3702
Păstrăveni,Neamţ,Nord-Est,Iv,27,1,3,3994
Petricani,Neamţ,Nord-Est,Iv,27,1,3,6136
Piatra Şoimului,Neamţ,Nord-Est,Iv,27,1,3,8423
Pipirig,Neamţ,Nord-Est,Iv,27,1,3,9017
Pângăraţi,Neamţ,Nord-Est,Iv,27,1,3,5414
Podoleni,Neamţ,Nord-Est,Iv,27,1,3,5561
Poienari,Neamţ,Nord-Est,Iv,27,1,3,1569
Poiana Teiului,Neamţ,Nord-Est,Iv,27,1,3,4847
Răuceşti,Neamţ,Nord-Est,Iv,27,1,3,8427
Războieni,Neamţ,Nord-Est,Iv,27,1,3,2167
Rediu,Neamţ,Nord-Est,Iv,27,1,3,5312
Români,Neamţ,Nord-Est,Iv,27,1,3,4168
Sagna,Neamţ,Nord-Est,Iv,27,1,3,5259
Săbăoani,Neamţ,Nord-Est,Iv,27,1,3,11869
Secuieni,Neamţ,Nord-Est,Iv,27,1,3,3151
Stăniţa,Neamţ,Nord-Est,Iv,27,1,3,2108
Ştefan Cel Mare,Neamţ,Nord-Est,Iv,27,1,3,3001
Tarcău,Neamţ,Nord-Est,Iv,27,1,3,3348
Taşca,Neamţ,Nord-Est,Iv,27,1,3,2566
Tazlău,Neamţ,Nord-Est,Iv,27,1,3,2703
Tămăşeni,Neamţ,Nord-Est,Iv,27,1,3,9829
Timişeşti,Neamţ,Nord-Est,Iv,27,1,3,4041
Trifeşti,Neamţ,Nord-Est,Iv,27,1,3,5005
Tupilaţi,Neamţ,Nord-Est,Iv,27,1,3,2120
Ţibucani,Neamţ,Nord-Est,Iv,27,1,3,3982
Urecheni,Neamţ,Nord-Est,Iv,27,1,3,3972
Valea Ursului,Neamţ,Nord-Est,Iv,27,1,3,4214
Alexandru Cel Bun,Neamţ,Nord-Est,Iv,27,1,3,6063
Vânători-Neamţ,Neamţ,Nord-Est,Iv,27,1,3,8604
Zăneşti,Neamţ,Nord-Est,Iv,27,1,3,5984
Comăneşti,Suceava,Nord-Est,,33,1,3,2433
Iaslovăţ,Suceava,Nord-Est,,33,1,3,4721
Ciocăneşti,Suceava,Nord-Est,,33,1,3,1456
Şerbăuţi,Suceava,Nord-Est,,33,1,3,3315
Horodnic De Sus,Suceava,Nord-Est,,33,1,3,5395
Fântâna Mare,Suceava,Nord-Est,,33,1,3,2610
Coşna,Suceava,Nord-Est,,33,1,3,1498
Capu Câmpului,Suceava,Nord-Est,,33,1,3,2512
Hănţeşti,Suceava,Nord-Est,,33,1,3,4000
Burla,Suceava,Nord-Est,,33,1,3,2474
Bălăceana,Suceava,Nord-Est,,33,1,3,1478
Hârtop,Suceava,Nord-Est,,33,1,3,2660
Voitinel,Suceava,Nord-Est,,33,1,3,5371
Ciprian Porumbescu,Suceava,Nord-Est,,33,1,3,2228
Berchişeşti,Suceava,Nord-Est,,33,1,3,3222
Poieni-Solca,Suceava,Nord-Est,,33,1,3,2176
Ipoteşti,Suceava,Nord-Est,Iv,33,1,3,8693
Mitocu Dragomirnei,Suceava,Nord-Est,Iv,33,1,3,5489
